"whale_num","whale_ID","dive_num","dive_type","descent_dur","ascent_dur","descent_rate","ascent_rate","dive_dur","post_dive_surf","t_to_click","click_dur","fluke_rate","odba","max_depth","head_var"
4," zc04_161a ",8,0,6.663333,4.936667,0.423527,0.501578,0.262222,5.926667,0.189833,0,0.116041,0.938505,165.198441,0.075807
4," zc04_161a ",9,0,9.3,17.933333,1.190404,0.582597,1.0605,2.906667,0.823972,0.546472,0.257169,1.798424,696.681991,0.1211
4," zc04_161a ",10,0,7.95,3.34,0.549285,1.182882,0.242389,2.466667,0.533139,0,0.210404,1.60094,263.579044,0.067758
4," zc04_161a ",11,0,6.996667,3.403333,0.59591,1.127259,0.287278,7.923333,0.20475,0,0.159538,1.346117,255.745701,0.016712
4," zc04_161a ",12,0,14.026667,32.79,0.837295,0.365647,0.875611,3.62,1.271444,0.620139,0.273542,2.215123,801.472147,0.155266
4," zc04_161a ",13,0,8.206667,3.273333,0.44791,1.033091,0.273444,4.763333,0.937667,0,0.239261,1.89805,225.430886,0.021154
4," zc04_161a ",14,0,8.24,3.65,0.483449,1.009958,0.273333,2.876667,0.584944,0,0.191099,1.593758,247.696032,0.033555
4," zc04_161a ",15,0,4.943333,5.713333,0.643111,0.509989,0.254722,10.32,0.282278,0,0.188366,1.518109,194.400151,0.133577
4," zc04_161a ",16,0,15.01,29.973333,1.536547,0.774531,0.806056,3.1,1.42661,0.315944,0.299948,2.344894,1547.812332,0.208945
4," zc04_161a ",17,0,9.323333,4.77,0.430493,0.865961,0.287278,2.773333,1.42661,0,0.214588,1.714606,276.954629,0.054842
4," zc04_161a ",18,0,6.496667,11.04,0.580944,0.336554,0.320778,6.257245,1.42661,0,0.172978,1.556389,247.890172,0.105517
5," zc04_161b ",1,0,7.913333,18.863333,1.426669,0.576225,0.922833,3.203333,1.473639,0.548639,0.241335,1.322558,726.990212,0.08466
5," zc04_161b ",2,0,7.74,6.32,0.865578,1.009524,0.304778,2.216667,1.115472,0,0.238333,1.303084,425.38612,0.03862
5," zc04_161b ",3,0,5.263333,5.16,0.855887,0.776651,0.289556,2.083333,0.788972,0,0.126241,0.803614,267.199929,0.047591
5," zc04_161b ",4,0,6.503333,3.733333,0.476545,0.721422,0.275833,1.483333,0.478417,0,0.115682,0.653984,179.452803,0.006736
5," zc04_161b ",5,0,4.413333,4.08,0.718739,0.655289,0.264167,5.87,0.189528,0,0.068219,0.613448,178.236231,0.053184
5," zc04_161b ",6,0,8.51,17.83,1.345996,0.637724,1.0615,2.726667,0.830444,0.528917,0.200467,1.239992,758.014029,0.100332
5," zc04_161b ",7,0,7.003333,3.423333,0.667001,1.254958,0.245111,2.196667,0.539889,0,0.186172,1.174816,286.527377,0.052536
5," zc04_161b ",8,0,7.936667,3.576667,0.603663,1.244888,0.291278,7.67,0.212,0,0.130156,0.87517,296.8822,0.013567
5," zc04_161b ",9,0,7.803333,11.206667,1.408284,0.919013,0.879167,3.683333,1.2,0.613111,0.250034,1.678435,688.868744,0.078529
5," zc04_161b ",10,0,7.423333,2.963333,0.528522,1.255133,0.273556,4.446667,0.865056,0,0.220769,1.487172,249.01072,0.009457
5," zc04_161b ",11,0,8.1,3.96,0.559069,1.058105,0.279556,2.743333,0.511389,0,0.169169,1.146368,281.022954,0.014488
5," zc04_161b ",12,0,5.35,3.596667,0.682882,0.857533,0.255111,9.89,0.210556,0,0.185331,1.27789,207.363719,0.09073
5," zc04_161b ",13,0,15.353333,29.723333,1.565336,0.810087,0.813278,3.103333,1.484028,0.397111,0.255429,1.621699,1605.178106,0.163011
