 955.3	 1.8	us
 965.2	 1.9	us
 966.0	 4.2	nfclicking
 978.8	 1.6	bp1
 980.1	 1.4	bp2
 980.4	63.9	nfclicking
 982.2	 0.0	soc
 983.4	 0.0	eoc
 983.9	 1.1	bp2
 985.5	 1.5	us
 995.5	 1.5	us
 1003.6	 2.6	whistle2
 1029.3	 1.1	whistle2
 1043.8	 2.3	us
 1050.2	236.8	nfclicking
 1059.0	 1.9	us
 1074.6	 2.3	us
 1090.0	 2.3	us
 1105.6	 2.2	us
 1120.7	 3.1	us
 1175.2	 3.6	us
 1198.8	 3.8	us
 1222.3	 3.2	us
 1245.4	 3.0	us
 1268.5	 3.5	us
 1278.8	 8.1	nfclicking
